State,avgSalary
AL,38965.00
AK,55940.00
AZ,39060.00
AR,39107.00
CA,52651.00
CO,50410.00
CT,66972.00
DE,47662.00
DC,71496.00
FL,44101.00
GA,40551.00
HI,47753.00
ID,37509.00
IL,49471.00
IN,40998.00
IA,44971.00
KS,45876.00
KY,38989.00
LA,43252.00
ME,42077.00
MD,56127.00
MA,61032.00
MI,42427.00
MN,50541.00
MS,35444.00
MO,42752.00
MT,41280.00
NE,48006.00
NV,42185.00
NH,54817.00
NJ,59782.00
NM,38457.00
NY,57705.00
NC,40656.00
ND,54376.00
OH,43478.00
OK,44272.00
OR,42974.00
PA,49180.00
RI,50080.00
SC,38041.00
SD,45002.00
TN,42069.00
TX,46745.00
UT,39045.00
VT,47864.00
VA,52136.00
WA,51146.00
WV,37047.00
WI,45617.00
WY,55303.00
